"Title:",""
"Rev:",""
"Source:","F:\Projects\typec-charger\ECAD\TypeC-DC-Charger.sch"
"Date:","5/05/2017 1:24:09 AM"
"Component Count:","92"

"Ref","Qty","Value","Description","Manf","Manf#","Installed","Footprint"
"D7","1","300V_10A_DPAK","DIODE, 10A cont, 20A, 300V, 13ns, 0.9V, DPAK","ST","STTH1003SBY-TR"," ","TO440P972X240-3N"
"D8, D9","2","33V_500mW_SOD123","DIODE, Zener 33V, 500mW, SOD123","VISAY SEMICONDUCTOR","BAT41ZFILM"," ","SOD3715X145L"
"J1","1","USB_C_SOCKET_RA_SMD","USB Type C Recep, Female, R/A, TOPMNT, GLD Flash, 24 contact, 5A","Molex","105450-0101"," ","MOLEX-105450-0101"
"L1","1","3.3uH_5050M","IHLP5050EZ, INDUCTOR, 3.3UH, 15A, Shielded, 0.0092ohm, 20%,","VISHAY","IHLP5050EZER3R3M01"," ","INDM132129X500N"
"Q1, Q2","2","CSD18543Q3A","POWER MOSFET, N-CH, NexFET, 60Vds, 20Vgs, 35A, 8.1mOhm, 1.7nC gd, 2.0Vgs, SON","TI","CSD18543Q3A"," ","SON65P315X300X90-9T174X245L"
"Q3, Q4","2","CSD17551Q3A","POWER MOSFET, N-CH, NexFET, 30Vds, 20Vgs, 20A, 7.8mOhm, 1.5nC gd, 1.6Vgs, SON","TI","CSD17551Q3A"," ","SON65P315X300X90-9T174X245L"
"Q5, Q6, Q7","3","CSD17579Q3A","POWER MOSFET, N-CH, NexFET, 30Vds, 20Vgs, 20A, 8.7mOhm, 1.2nC gd, 1.5Vgs, SON","TI","CSD17579Q3A"," ","SON65P315X300X90-9T174X245L"
"Q8","1","BC857B","Transistor, PNP 45V, 100mA, 250mW, SOT23","MULTICOMP","BC857B"," ","SOT95P240X110-3L16L"
"Q9","1","IRFR9024NTRPBF","MOSFET P-CH 55V 11A DPAK TO-252AA","Infineon","IRFR9024NTRPBF"," ","DPAK4P229_990X239L159X95L"
"R1","1","249K_1608M","RESISTOR, THICK FILM, 249K, 100mW, 1%, 0603, 1608M","VISHAY","CRCW0603249KFKEA"," ","RESC1608X50L"
"R10, R11","2","100R_1005M","RESISTOR, THICK FILM, 100R, 63mW, 1%, 0402, 1005M","VISHAY","CRCW0402100RFKED"," ","RESC1005X40L"
"R12","1","49K9_1608M","RESISTOR, THICK FILM, 49.9K, 100mW, 1%, 0603, 1608M","VISHAY","CRCW060349K9FKEA"," ","RESC1608X50L"
"R13","1","9K53_1608M","RESISTOR, THICK FILM, 9.53K, 100mW, 1%, 0603, 1608M","VISHAY","CRCW06039K53FKEA"," ","RESC1608X50L"
"R14","1","4K99_1608M","RESISTOR, THICK FILM, 4.99K, 100mW, 1%, 0603, 1608M","VISHAY","MCT06030C4991FP500"," ","RESC1608X50L"
"R15","1","5K76_1608M","RESISTOR, THICK FILM, 5.76K, 100mW, 1%, 0603, 1608M","PANASONIC","ERJ3EKF5761V"," ","RESC1608X50L"
"R16","1","1M_1005M","RESISTOR, THICK FILM, 1MOhm, 63mW, 1%, 0402, 1005M","VISHAY","CRCW04021M00FKED"," ","RESC1005X40L"
"R17","1","680K_1005M","RESISTOR, THICK FILM, 680K, 100mW, 1%, 0402, 1005M","PANASONIC","ERJ2RKF6803X"," ","RESC1005X40L"
"R18","1","100K_1005M","RESISTOR, THICK FILM, 100K, 100mW, 1%, 0402, 1005M","PANASONIC","ERJ2RKF1003X"," ","RESC1005X40L"
"R19, R21, R22, R25, R30","5","10R_1005M","RESISTOR, THICK FILM, 10R, 63mW, 1%, 0402, 1005M","VISHAY","CRCW040210R0FKED"," ","RESC1005X40L"
"R2","1","41K2_1608M","RESISTOR, THICK FILM, 41.2K, 200mW, 0603, 1608M","PANASONIC","ERJP03F4122V"," ","RESC1608X50L"
"R20","1","1K_1005M","RESISTOR, THICK FILM, 1K, 63mW, 1%, 0402, 1005M","VISHAY","CRCW04021K00FKED"," ","RESC1005X40L"
"R23","1","0.005R_2012M","RESISTOR, THICK FILM, 5mOhm, 500mW, 1%, 0805, 2012M","WALSIN","WW08RR005FTL"," ","RESC2012X50L"
"R24","1","120R_2012M","RESISTOR, THICK FILM, 120R, 500mW, 5%, 0805, 2012M","PANASONIC","ERJ-P06J121V"," ","RESC2012X50L"
"R26","1","100K_1608M","RESISTOR, THICK FILM, 100K, 125mW, 1%, 0603, 1608M","MULTICOMP","MC0063W06035100K"," ","RESC1608X50L"
"R27","1","10R_2012M","RESISTOR, THICK FILM, 10R, 125mW, 1%, 0805, 2012M","PANASONIC","ERJ8ENF10R0V"," ","RESC2012X50L"
"R28","1","22K_1608M","RESISTOR, THICK FILM, 22K, 100mW, 1%, 0603, 1608M","MULTICOMP","MCMR06X2202FTL"," ","RESC1608X50L"
"R29","1","332K_1608M","RESISTOR, THICK FILM, 332K, 250mW, 0603, 1608M","PANASONIC","ERJPA3F3323V"," ","RESC1608X50L"
"R3, R8","2","10K_1005M","RESISTOR, THICK FILM, 10K, 63mW, 1%, 0402, 1005M","VISHAY","CRCW040210K0FKED"," ","RESC1005X40L"
"R31","1","10K0_1608M","RESISTOR, THICK FILM, 10K, 125mW, 1%, 0603, 1608M","TE CONNECTIVITY","CRGH0603F10K"," ","RESC1608X50L"
"R4","1","93K1_1005M","RESISTOR, THICK FILM, 93.1K, 100mW, 1%, 0402, 1005M","PANASONIC","ERJ2RKF9312X"," ","RESC1005X40L"
"R5","1","0R_1005M","RESISTOR, THICK FILM, 0R, 63mW, 1%, 0402, 1005M","VISHAY","CRCW04020000Z0ED"," ","RESC1005X40L"
"R6","1","84K5_1005M","RESISTOR, THICK FILM, 84.5K, 63mW, 1%, 0402, 1005M","PANASONIC","ERA2AEB8452X"," ","RESC1005X40L"
"R7","1","10R_1608M","RESISTOR, THICK FILM, 10R, 125mW, 0603, 1608M","MULTICOMP","MCHP03W8F100JT5E"," ","RESC1608X50L"
"R9","1","0.01R_3216M","RESISTOR, THICK FILM, 10mOhm, 1W, 1206, 3216M","Vishay","WSLP1206R0100FEA"," ","RESC3216X60L"
"TEST2, TEST3, TEST4, TEST5","4","PROBE_HOOK","PCB Probe Hook SMD","HARWIN","S1751-46R"," ","HARWIN_S1751-46"
"U1","1","LM5175RHF","4-Switch Synchronous Buck-Boost Controller, 3.5-42V IN, 0.8-55V OUT, <600kHz, VQFN-28","TEXAS INSTRUMENTS","LM5175RHFR"," ","QFN50P500X400X100-29T255X355N"
"U2","1","TPS25741","USB 3.1 Type C and USB PD 2.0 Delivery Port Control IC, 5/12/20V 15-100W, internal 1.8V 35mA, QFN 32 with pad","TEXAS INSTRUMENTS","TPS24741"," ","QFN40P400X400X100-33T280N"
"U3","1","TPS2514","TPS251xx USB, Dedicated Charging Port Controller, BC1.2 auto detect, SOT23-6","TI","TPS2514DBVR"," ","SOT23-6P65_210X100L36X22L"

"Tool:","Eeschema (2017-03-19 revision 2637835a1)-makepkg"
"Script:","F:\Projects\ECAD\KiCad\scripts\BOM\bom\BOM-GroupedByValue.py"
